Stock	Date	Open	High	Low	Close	Volume
IBM	2013/9/5	183.4	185.0	183.1	184.1	2867600
IBM	2013/9/4	183.6	184.2	182.3	183.1	2597900
IBM	2013/9/3	183.6	184.3	182.5	184.0	3487200
IBM	2013/8/30	182.8	183.0	181.5	182.3	2731000
IBM	2013/8/29	182.0	183.7	181.4	182.6	2980900
IBM	2013/8/28	182.7	183.5	181.1	182.2	3979200
IBM	2013/8/27	183.6	184.5	182.6	182.7	3190700
IBM	2013/8/26	185.3	187.0	184.7	184.7	2170400
IBM	2013/8/23	185.3	185.7	184.6	185.4	2292700
IBM	2013/8/22	185.6	186.3	184.3	185.2	2354300
IBM	2013/8/21	184.7	186.6	184.3	184.9	3551000
IBM	2013/8/20	184.4	185.6	183.2	184.6	3117800
IBM	2013/8/19	185.3	186.5	184.0	184.2	3248900
IBM	2013/8/16	185.5	186.5	185.3	185.3	3426400
IBM	2013/8/15	186.2	187.0	185.4	185.8	3692400
IBM	2013/8/14	188.6	188.9	187.3	187.5	2892300
IBM	2013/8/13	189.5	190.0	187.6	188.4	3542900
IBM	2013/8/12	187.0	189.6	186.9	189.1	3026500
IBM	2013/8/9	188.0	189.2	187.0	187.8	3249600
IBM	2013/8/8	189.4	189.9	186.8	187.9	4547600
IBM	2013/8/7	189.6	189.9	188.1	188.6	3901700
IBM	2013/8/6	192.3	192.5	190.3	191.0	5938500
IBM	2013/8/5	195.2	195.9	194.4	195.5	2490900
IBM	2013/8/2	195.5	195.5	193.2	195.2	3874000
IBM	2013/8/1	196.6	197.2	195.4	195.8	2877700
IBM	2013/7/31	194.5	196.9	194.5	195.0	3810000
IBM	2013/7/30	197.0	197.8	195.8	196.0	2663200
IBM	2013/7/29	196.8	197.2	195.5	196.2	2113700
IBM	2013/7/26	196.6	197.4	195.0	197.4	2485100
IBM	2013/7/25	196.3	197.8	195.7	197.2	3014300
IBM	2013/7/24	195.9	197.3	195.9	196.6	2957900
IBM	2013/7/23	194.2	196.4	194.1	195.0	2863800
IBM	2013/7/22	193.4	195.8	193.3	194.1	3398000
IBM	2013/7/19	197.9	198.0	193.2	193.5	6997600
